,PC2
Sepx1,0.016714390473775917
Tmeff2,0.016486135046910162
2610029K21Rik,0.01646292533464831
Lsm2,0.016251122906831228
Mcm6,0.01622079920598701
Prpf38a,0.01619946195882577
A530089I17Rik,0.01617616745000973
Arhgap30,0.01616579330754803
Nono,0.01611206665907048
E430025E21Rik,0.016070135547954077
Surf4,0.016050584848580712
Adam9,0.016006746867859984
Slfn1,0.01599493551979985
Uhrf1,0.015994874579564947
Actl6a,0.015985010579241146
Cd68,0.015984516451442256
Slc3a2,0.015983614602206007
Ftsj,0.01597362732279014
Gcnt1,0.015958478912548858
Arl11,0.01594294572903097
Vps4b,0.015916089478438884
Gsdmdc1,0.015835510814964603
Rras2,0.01578081216663457
E130306I01Rik,0.01574915544462874
1810009M01Rik,0.015730899438207865
Rab32,0.0157272543841947
Mfng,0.015649489003196924
Bmp1,0.015618732800023995
1700011I11Rik,0.015616426650856559
Clecsf5,0.015615853006445458
Brd8,0.01556999903500669
Scara3,0.015559723433154945
Fbxo18,0.015545868205783402
P2ry6,0.015539482928392355
Parp3,0.01553729227881045
Idh2,0.015529019846963758
AA960436,0.015511630708600052
Nat5,0.015498948453132875
4930403J22Rik,0.015490492808402041
2610033H07Rik,0.015478474626663534
D11Moh35,0.015471840396846454
2410127L17Rik,0.015464744094795733
Rbm14,0.015457320045212277
0610041B22Rik,0.015451466223505874
Cct7,0.015442482501242543
1110001A12Rik,0.015433819387363002
Uck1,0.015429680928968646
Pnkp,0.015426631812228808
Pbef1,0.015408663979707823
2310038H17Rik,0.015398935825982386
Chrnb1,0.01538643183904154
Metap2,0.015362169905758765
Lyzs,0.015341982292055382
Traf7,0.015339031890284436
Klhl6,0.015335339864914293
Sfrs2,0.015317829311416216
Ncf4,0.015313734100312166
Ubadc1,0.015303157173718251
4632417K18Rik,0.015299491086719307
BC016198,0.015292765178368462
3000003F02Rik,0.01528900880698175
2310010G13Rik,0.015286788788545162
Clecsf12,0.015275340410630927
Tm4sf3,0.01527407241079437
LOC380625,0.015266214183829565
Lrp1,0.015265160863364316
Hk2,0.015251574014934668
Kdt1,0.01525127439876969
Vav1,0.015246450763861727
Ifi47,0.015241676048918053
Tax1bp3,0.015241319032704776
Mmp13,0.015235716904630183
Taf12,0.015232185889729544
2010002N04Rik,0.01521716709397955
Arpc1b,0.015203561692640739
Tjp1,0.015202874123162492
Sec14l2,0.015200764355678334
Rod1,0.015198689367241407
Ss18,0.015196705224657906
Serpina3n,0.015188250345363613
2400006A19Rik,0.015182604462313887
D15Ertd366e,0.015182475596085071
Wbscr5,0.015180046956877313
Abi3,0.01517041355396245
Cyp4f18,0.015169459191764647
D19Ertd703e,0.015167117868608105
Notch4,0.015163721696764974
Ifitm1,0.015153238522375087
Serpinf2,0.015151510997293578
Ogfr,0.015142911285708823
2810028N01Rik,0.015142087767857365
Rela,0.015121712127204326
Tlr6,0.015113236105742951
Lilrb4,0.015100131163873135
Lcp2,0.015097476085960225
Spon1,0.015097148947794056
Cd84,0.015087857780681694
Klhl6,0.01508700246650092
Zdhhc4,0.015068418368022826
Foxd1,0.01506781539312138
Slc30a4,0.015058596334284685
Pkn3,0.015054215647735236
Hig1,0.015033711175142416
Tor3a,0.015032226598152223
Bcl2a1c,0.015030904391177177
Gmfg,0.015027008550231312
Edg8,0.015026920620330108
B130017I01Rik,0.01502614829522557
Admr,0.01501740012124231
Rai12,0.015010281112544207
Tgfbi,0.015005717339285442
Plek,0.01500266018596432
Cd53,0.014992189246826663
Cxcl10,0.014990628926399853
2310066N05Rik,0.01497577028355766
Loh11cr2a,0.014973660364150283
H2-M2,0.014968322786023735
Tax1bp3,0.014966728740025435
Ptpla,0.014963221145508042
Taf6,0.01495781428101106
Zfp36l1,0.014953017942251703
Eif2ak3,0.01494750012447241
D430015B01Rik,0.014941263574523151
Wdr1,0.014932314003110484
LOC216443,0.014926373076598502
4930504E06Rik,0.014920928193125654
Myl1,0.014919496056160097
Eif2s3y,0.014911292305323098
Notch1,0.01490969855156966
Smu1,0.01490890042923925
Ckn1,0.014902135346698032
Hsd3b7,0.014895877676837657
Casp1,0.014895139266788721
Pcdhb22,0.014883645759196944
Ms4a6d,0.014871211988138199
Gp49a,0.014868859263408857
Csf1,0.01486147390126783
Cct5,0.014859325011242597
Clecsf12,0.014848321662511066
Mrpl39,0.014839769113450751
Nes,0.014837596202243121
Wbscr16,0.014831594354301831
Gpr84,0.014829548488899596
Zc3hdc1,0.01482838655892616
Rbm3,0.014828145895646613
Rraga,0.014827268329949815
Smbp,0.01482220971314202
Ppic,0.014821166255049806
Sdcbp,0.014816869622860794
Eml3,0.014788912396623955
Cd86,0.014787222822293177
Pmpcb,0.014786543506618474
Tbxas1,0.014774431762319724
Sirpb1,0.014771251833463015
C330023M02Rik,0.014770746916094356
BB146404,0.01476685741185953
AI326906,0.014765920717506285
Tmprss7,0.014764787782042916
Gyk,0.014748751289451209
Anxa2,0.01474652612675291
Foxred1,0.014745197484714003
4930452B06Rik,0.014738589379967125
2210409M21Rik,0.014732853531249984
Tgfbi,0.014730476977795582
Cd44,0.014728485125064398
Zfp364,0.014724202716695015
Tap2,0.014703559620655351
Fadd,0.014701149936040712
Fcrl3,0.014700871767378651
Pld3,-0.014696940220352318
Atxn7l2,-0.014718598982803149
Centg3,-0.014740639405693041
Tmem143,-0.014765277155125104
Kcnj9,-0.014766972831157937
Nf1,-0.014774129649644425
Slc22a17,-0.014777199709218357
Snx19,-0.014852372121666778
Selpl,-0.01485259181506143
Gig1,-0.014861384040188517
Ubxd1,-0.014893989711393375
2900055D14Rik,-0.014900503417733219
Cri2,-0.014934937729386071
Drd1ip,-0.014939204098569296
Tom1l2,-0.015004276227422293
Mbd3,-0.01503034256046963
C1qtnf4,-0.0151529962622919
Eef1a2,-0.015188511214063222
D7Bwg0611e,-0.015207339172038446
Prkaca,-0.015248441599701314
Map1lc3a,-0.01525476888445963
Otub1,-0.015295843109788142
Ergic3,-0.015353628773095634
Pltp,-0.015398430429824514
Cited2,-0.015445718951730579
Fzr1,-0.015465796618243466
Zfp523,-0.015483738247127475
Jmjd2b,-0.01562979998079559
2410008J05Rik,-0.015676152687529313
Slc22a17,-0.01578820729440976
Sez6l2,-0.016224653008640406
