ID_REF,p,gene_name
ILMN_2901363,0.02381953477118816,2310002B06Rik
ILMN_2675760,0.04097644496929559,2310046K01Rik
ILMN_2655929,0.023893487384338268,2700055K07Rik
ILMN_1247873,0.032506875497860736,4732437J24Rik
ILMN_2605183,0.04097644496929559,B930018B01
ILMN_2708357,0.028107186542701088,C330027I04Rik
ILMN_2754596,0.02354209282294786,Centg3
ILMN_1241293,0.02381953477118816,Cldn5
ILMN_2756439,0.04130970145705594,D7Bwg0611e
ILMN_1215208,0.04097644496929559,Dvl1
ILMN_2811705,0.023893487384338268,Fbxo18
ILMN_2718266,0.02381953477118816,Fkbp5
ILMN_1228629,0.028654231973453084,Gig1
ILMN_2800687,0.005939518657452101,Hr
ILMN_1220617,0.02381953477118816,Hr
ILMN_2641228,0.04097644496929559,Hspa12b
ILMN_2618408,0.02381953477118816,Icam2
ILMN_2595612,0.030847252275933577,Idh2
ILMN_2961005,0.02381953477118816,Ier5l
ILMN_2620913,0.018318044982854463,Inppl1
ILMN_2731760,0.04130970145705594,Myo1f
ILMN_2723639,0.028654231973453084,Pacs1
ILMN_2780316,0.02569031547374657,Rnpep
ILMN_2588249,0.02381953477118816,S3-12
ILMN_1232875,0.005939518657452101,Sgk3
ILMN_1214762,0.016064407001081644,Sgk3
ILMN_2665359,0.02569031547374657,Sgk3
ILMN_2665364,0.02354209282294786,Sgk3
ILMN_1258323,0.02569031547374657,Slco1a4
ILMN_3162403,0.04130970145705594,St6galnac3
ILMN_2745370,0.04097644496929559,Sult1a1
ILMN_1251390,0.02381953477118816,Tbxas1
ILMN_2608933,0.028654231973453084,Tcof1
ILMN_2482722,0.023893487384338268,Tmc7
ILMN_2731260,0.02569031547374657,Tmem143
ILMN_2506144,0.028107186542701088,Vapb
ILMN_2520032,0.04097644496929559,Zdhhc12
